cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank
C_052_166,79.701092,13.310472,0.6771,0.5,1.0,0.5312,High (Multi-Source Convergence),Q4: Higher Relative Stress,1
C_035_064,78.778702,13.463186,0.6761,0.496,0.7934,0.7388,High (Multi-Source Convergence),Q4: Higher Relative Stress,2
C_052_169,79.728042,13.310472,0.667,0.5276,0.9962,0.4771,High (Multi-Source Convergence),Q4: Higher Relative Stress,3
C_047_044,78.599039,13.355388,0.661,0.9099,1.0,0.073,High (Multi-Source Convergence),Q4: Higher Relative Stress,4
C_038_055,78.697854,13.436236,0.6559,0.804,0.7897,0.374,High (Multi-Source Convergence),Q4: Higher Relative Stress,5
C_045_166,79.701092,13.373354,0.6415,0.4104,0.5141,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,6
C_042_054,78.688871,13.400304,0.6192,0.4148,0.4427,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,7
C_040_056,78.706837,13.41827,0.6184,0.4804,0.6508,0.7241,High (Multi-Source Convergence),Q4: Higher Relative Stress,8
C_055_047,78.625988,13.283523,0.6163,0.6956,1.0,0.1533,High (Multi-Source Convergence),Q4: Higher Relative Stress,9
C_073_102,79.120062,13.121826,0.6112,0.8461,0.8529,0.1346,High (Multi-Source Convergence),Q4: Higher Relative Stress,10
C_069_054,78.688871,13.157759,0.6075,0.7147,0.7905,0.3173,High (Multi-Source Convergence),Q4: Higher Relative Stress,11
C_053_166,79.701092,13.301489,0.6071,0.3731,0.6491,0.799,High (Multi-Source Convergence),Q4: Higher Relative Stress,12
C_050_169,79.728042,13.328439,0.5978,0.4206,0.6652,0.7077,High (Multi-Source Convergence),Q4: Higher Relative Stress,13
C_047_043,78.590056,13.355388,0.5967,0.7471,0.8002,0.243,High (Multi-Source Convergence),Q4: Higher Relative Stress,14
C_042_068,78.814635,13.400304,0.5953,0.5959,0.6287,0.5613,High (Multi-Source Convergence),Q4: Higher Relative Stress,15
C_045_169,79.728042,13.373354,0.5923,0.3483,0.6988,0.7299,High (Multi-Source Convergence),Q4: Higher Relative Stress,16
C_065_059,78.733786,13.193691,0.5873,0.6528,0.6493,0.4598,High (Multi-Source Convergence),Q4: Higher Relative Stress,17
