cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank,mandal,nearest_place,nearest_place_distance_km
C_052_166,79.701092,13.310472,0.6771,0.5,1.0,0.5312,High (Multi-Source Convergence),Q4: Higher Relative Stress,1,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_035_064,78.778702,13.463186,0.6761,0.496,0.7934,0.7388,High (Multi-Source Convergence),Q4: Higher Relative Stress,2,Somala,N/A (Requires Authoritative Settlement Gazetteer),
C_052_169,79.728042,13.310472,0.667,0.5276,0.9962,0.4771,High (Multi-Source Convergence),Q4: Higher Relative Stress,3,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_047_044,78.599039,13.355388,0.661,0.9099,1.0,0.073,High (Multi-Source Convergence),Q4: Higher Relative Stress,4,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_038_055,78.697854,13.436236,0.6559,0.804,0.7897,0.374,High (Multi-Source Convergence),Q4: Higher Relative Stress,5,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_045_166,79.701092,13.373354,0.6415,0.4104,0.5141,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,6,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_042_054,78.688871,13.400304,0.6192,0.4148,0.4427,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,7,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_040_056,78.706837,13.41827,0.6184,0.4804,0.6508,0.7241,High (Multi-Source Convergence),Q4: Higher Relative Stress,8,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_055_047,78.625988,13.283523,0.6163,0.6956,1.0,0.1533,High (Multi-Source Convergence),Q4: Higher Relative Stress,9,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_073_102,79.120062,13.121826,0.6112,0.8461,0.8529,0.1346,High (Multi-Source Convergence),Q4: Higher Relative Stress,10,Gudipala,N/A (Requires Authoritative Settlement Gazetteer),
