cell_id,cell_row,cell_col,lon,lat,valid_pixels,urbanization_component,vegetation_component,water_component,stress_score,stress_score_pca,stress_category,evidence_strength,supporting_evidence_count,evidence_interpretation
C_000_095,0,95,79.05718,13.777596,7542,0.0579,0.3269,0.2353,0.2067,0.1953,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_000_096,0,96,79.066163,13.777596,9250,0.1225,0.2863,0.1338,0.1809,0.1975,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_000_097,0,97,79.075146,13.777596,9137,0.1104,0.4277,0.1742,0.2374,0.2594,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_000_098,0,98,79.084129,13.777596,9792,0.1147,0.4002,0.0936,0.2029,0.2417,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_001_093,1,93,79.039214,13.768613,6874,0.0561,0.1482,0.152,0.1187,0.1063,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_001_094,1,94,79.048197,13.768613,9959,0.0619,0.1798,0.1072,0.1163,0.1192,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_001_095,1,95,79.05718,13.768613,10000,0.1062,0.2443,0.1071,0.1525,0.1686,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_001_096,1,96,79.066163,13.768613,10000,0.0292,0.0517,0.1359,0.0723,0.049,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_001_097,1,97,79.075146,13.768613,10000,0.1398,0.2112,0.2859,0.2123,0.1852,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_001_098,1,98,79.084129,13.768613,9321,0.0323,0.1981,0.1356,0.122,0.1164,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_002_093,2,93,79.039214,13.75963,8972,0.1063,0.2948,0.1332,0.1781,0.1938,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_002_094,2,94,79.048197,13.75963,10000,0.0441,0.1834,0.2053,0.1443,0.1215,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_002_095,2,95,79.05718,13.75963,10000,0.1681,0.2293,0.1074,0.1683,0.1902,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_002_096,2,96,79.066163,13.75963,10000,0.0731,0.1391,0.3291,0.1804,0.1259,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated water/moisture spectral decrease without land conversion.
C_002_097,2,97,79.075146,13.75963,10000,0.0935,0.3373,0.3468,0.2592,0.2264,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_003_093,3,93,79.039214,13.750647,6813,0.0217,0.177,0.0413,0.08,0.0936,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_003_094,3,94,79.048197,13.750647,10000,0.0321,0.1305,0.0753,0.0793,0.0804,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_003_095,3,95,79.05718,13.750647,10000,0.1317,0.2548,0.1343,0.1736,0.1875,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_003_096,3,96,79.066163,13.750647,10000,0.277,0.4491,0.2787,0.3349,0.3548,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_003_097,3,97,79.075146,13.750647,10000,0.0815,0.3988,0.1241,0.2015,0.2286,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_004_091,4,91,79.021247,13.741664,5611,0.0025,0.0029,0.0128,0.0061,0.0036,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_004_092,4,92,79.03023,13.741664,6831,0.001,0.0024,0.0043,0.0026,0.0019,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_004_093,4,93,79.039214,13.741664,9792,0.062,0.029,0.0017,0.0309,0.0416,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_004_094,4,94,79.048197,13.741664,10000,0.1244,0.0624,0.0007,0.0625,0.0853,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
