rank,cell_id,lon,lat,stress_score,stress_category,urbanization_component,vegetation_component,water_component,evidence_strength,supporting_evidence_count,evidence_interpretation
1,C_052_166,79.701092,13.310472,0.6771,Q4: Higher Relative Stress,0.5,1.0,0.5312,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
2,C_035_064,78.778702,13.463186,0.6761,Q4: Higher Relative Stress,0.496,0.7934,0.7388,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
3,C_052_169,79.728042,13.310472,0.667,Q4: Higher Relative Stress,0.5276,0.9962,0.4771,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
4,C_047_044,78.599039,13.355388,0.661,Q4: Higher Relative Stress,0.9099,1.0,0.073,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
5,C_038_055,78.697854,13.436236,0.6559,Q4: Higher Relative Stress,0.804,0.7897,0.374,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
6,C_045_166,79.701092,13.373354,0.6415,Q4: Higher Relative Stress,0.4104,0.5141,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
7,C_042_054,78.688871,13.400304,0.6192,Q4: Higher Relative Stress,0.4148,0.4427,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
8,C_040_056,78.706837,13.41827,0.6184,Q4: Higher Relative Stress,0.4804,0.6508,0.7241,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
9,C_055_047,78.625988,13.283523,0.6163,Q4: Higher Relative Stress,0.6956,1.0,0.1533,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
10,C_073_102,79.120062,13.121826,0.6112,Q4: Higher Relative Stress,0.8461,0.8529,0.1346,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
