category,file,type,source,time_period,spatial_resolution,status,used_in_final_results,notes
Raw Satellite Data,data/raw/satellite/Chittoor_New_BuiltUp_2016_2025.tif,GeoTIFF Raster,ESA Copernicus Sentinel-2 / Dynamic World (GEE Export),2016-2025 Transition,"10 m (~8.98e-5 deg, EPSG:4326)","Verified (3.3 MB, Unmodified)",Yes (Foundational Raw Imagery),Original raw satellite data. Read-only protection enforced.
Raw Satellite Data,data/raw/satellite/Chittoor_Sentinel2_2016_Multispectral-0000000000-0000000000.tif,GeoTIFF Raster,ESA Copernicus Sentinel-2 / Dynamic World (GEE Export),2016 & 2025,"10 m (~8.98e-5 deg, EPSG:4326)","Verified (1303.0 MB, Unmodified)",Yes (Foundational Raw Imagery),Original raw satellite data. Read-only protection enforced.
Raw Satellite Data,data/raw/satellite/Chittoor_Sentinel2_2016_Multispectral-0000000000-0000013568.tif,GeoTIFF Raster,ESA Copernicus Sentinel-2 / Dynamic World (GEE Export),2016 & 2025,"10 m (~8.98e-5 deg, EPSG:4326)","Verified (103.6 MB, Unmodified)",Yes (Foundational Raw Imagery),Original raw satellite data. Read-only protection enforced.
Raw Satellite Data,data/raw/satellite/Chittoor_Sentinel2_2025_Multispectral-0000000000-0000000000.tif,GeoTIFF Raster,ESA Copernicus Sentinel-2 / Dynamic World (GEE Export),2016 & 2025,"10 m (~8.98e-5 deg, EPSG:4326)","Verified (1293.1 MB, Unmodified)",Yes (Foundational Raw Imagery),Original raw satellite data. Read-only protection enforced.
Raw Satellite Data,data/raw/satellite/Chittoor_Sentinel2_2025_Multispectral-0000000000-0000013568.tif,GeoTIFF Raster,ESA Copernicus Sentinel-2 / Dynamic World (GEE Export),2016 & 2025,"10 m (~8.98e-5 deg, EPSG:4326)","Verified (105.8 MB, Unmodified)",Yes (Foundational Raw Imagery),Original raw satellite data. Read-only protection enforced.
Processed Satellite Masks,data/processed/satellite/sentinel2_2016_tile1_valid_mask.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (1.2 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Processed Satellite Masks,data/processed/satellite/sentinel2_2016_tile2_valid_mask.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (0.4 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Processed Satellite Masks,data/processed/satellite/sentinel2_2025_tile1_valid_mask.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (1.2 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Processed Satellite Masks,data/processed/satellite/sentinel2_2025_tile2_valid_mask.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (0.4 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2016_tile1_ndbi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (293.5 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2016_tile1_ndvi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (269.6 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2016_tile1_ndwi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (264.8 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2016_tile2_ndbi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (24.6 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2016_tile2_ndvi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (22.8 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2016_tile2_ndwi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (22.4 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2025_tile1_ndbi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (292.8 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2025_tile1_ndvi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (269.7 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2025_tile1_ndwi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (264.8 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2025_tile2_ndbi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (24.6 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2025_tile2_ndvi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (22.7 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Engineered Feature Rasters,data/processed/features/sentinel2_2025_tile2_ndwi.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (22.4 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Change Detection Rasters,data/processed/change_detection/sentinel2_tile1_ndbi_change_2016_2025.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (293.4 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Change Detection Rasters,data/processed/change_detection/sentinel2_tile1_ndvi_change_2016_2025.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (279.7 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Change Detection Rasters,data/processed/change_detection/sentinel2_tile1_ndwi_change_2016_2025.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (272.7 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Change Detection Rasters,data/processed/change_detection/sentinel2_tile2_ndbi_change_2016_2025.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (24.6 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Change Detection Rasters,data/processed/change_detection/sentinel2_tile2_ndvi_change_2016_2025.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (23.5 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Change Detection Rasters,data/processed/change_detection/sentinel2_tile2_ndwi_change_2016_2025.tif,GeoTIFF Raster,Sentinel-2 Spectral Computations,"2016, 2025 or 2016->2025",10 m (EPSG:4326),Verified (23.1 MB),Yes,"Valid masks, NDVI/NDWI/NDBI features, or decadal change rasters."
Master Tabular Dataset,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,CSV Table,"GEE Multi-Sensor Aggregations (Dynamic World, MODIS, CHIRPS, Landsat/Sentinel)",2016–2025 (Annual),District Aggregate,"Verified (10 rows, 14 cols, 0 missing)",Yes (Authoritative Master Series),Historical baseline for trend analysis and forecasting.
Metadata Manifest,data/metadata/builtup_forecast_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/environmental_stress_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
Metadata Manifest,data/metadata/explainability_decision_support_manifest.json,JSON Manifest,Automated Execution Pipeline,2016–2025 / 2026,Multi-scale,Verified (Valid JSON),Yes (Reproducibility & Audit Trail),Machine-readable execution logs and audit records.
