variable,unit,type,description,permitted_symbols
built_up_km2,km²,Continuous Area,Total district built-up extent derived from Dynamic World,"km², sq km"
strong_built_up_km2,km²,Continuous Area,Dense high-confidence urban core extent derived from Dynamic World,"km², sq km"
NDVI,dimensionless,Normalized Ratio Index,Normalized Difference Vegetation Index [-1.0 to +1.0],"index, dimensionless"
NDWI,dimensionless,Normalized Ratio Index,Normalized Difference Water Index [-1.0 to +1.0],"index, dimensionless"
NDBI,dimensionless,Normalized Ratio Index,Normalized Difference Built-Up Index [-1.0 to +1.0],"index, dimensionless"
LST_C,°C,Continuous Temperature,Land Surface Temperature from MODIS Terra (MOD11A2 Daytime),"°C, deg C"
rainfall_mm,mm,Continuous Precipitation,Annual cumulative precipitation from CHIRPS,"mm, millimeters"
rainfall_anomaly_mm,mm,Continuous Precipitation Deviation,Departure from 1981-2010 long-term climate normal,"mm, millimeters"
stress_score,dimensionless,Relative Index,Environmental Stress Score bounded within [0.0 to 1.0],"score, index [0, 1]"
urbanization_component,dimensionless,Component Score,Urbanization stress component C_urb bounded in [0.0 to 1.0],"score, index [0, 1]"
vegetation_component,dimensionless,Component Score,Vegetation stress component C_veg bounded in [0.0 to 1.0],"score, index [0, 1]"
water_component,dimensionless,Component Score,Water/moisture stress component C_wat bounded in [0.0 to 1.0],"score, index [0, 1]"
spatial_resolution,m / km,Spatial Dimension,"Native Sentinel-2 (10 m) or aggregated grid cells (1 km, 500 m)","m, km, deg"
