target,variable_name,model,model_key,training_period,validation_type,test_period,mae,rmse,mape_pct,baseline_mae,baseline_rmse,improvement_mae_pct,improvement_rmse_pct,status,limitations
Built-Up Area (km²),built_up_km2,Last-Value Persistence (y_{t-1}),Naive_Persistence,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),14.4368,16.1324,6.06,14.4368,16.1324,0.0,0.0,Baseline Anchor,Assumes zero net growth between successive years.
Built-Up Area (km²),built_up_km2,Historical Expanding Mean (y_{1:t-1}),Historical_Mean,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),49.8296,50.7731,20.23,14.4368,16.1324,-245.2,-214.7,Inferior to Baseline,Underperforms simple persistence; severe lag or trend misfit.
Built-Up Area (km²),built_up_km2,2-Year Moving Average,MA_2yr,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),21.0834,22.5477,8.68,14.4368,16.1324,-46.0,-39.8,Inferior to Baseline,Underperforms simple persistence; severe lag or trend misfit.
Built-Up Area (km²),built_up_km2,OLS Linear Trend Extrapolation,Linear_Trend,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),8.0713,10.2422,3.3,14.4368,16.1324,44.1,36.5,Superior to Baseline,Assumes continuation of historical expansion rate.
Built-Up Area (km²),built_up_km2,"Holt's Linear Exponential Smoothing (alpha=0.8, beta=0.2)",Holts_Linear,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),8.264,8.8351,3.39,14.4368,16.1324,42.8,45.2,Superior to Baseline,Assumes continuation of historical expansion rate.
Strong Built-Up Core (km²),strong_built_up_km2,Last-Value Persistence (y_{t-1}),Naive_Persistence,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),4.974,5.233,8.1,4.974,5.233,0.0,0.0,Baseline Anchor,Assumes zero net growth between successive years.
Strong Built-Up Core (km²),strong_built_up_km2,Historical Expanding Mean (y_{1:t-1}),Historical_Mean,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),15.9908,16.2273,25.51,4.974,5.233,-221.5,-210.1,Inferior to Baseline,Underperforms simple persistence; severe lag or trend misfit.
Strong Built-Up Core (km²),strong_built_up_km2,2-Year Moving Average,MA_2yr,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),6.7871,6.9062,10.99,4.974,5.233,-36.5,-32.0,Inferior to Baseline,Underperforms simple persistence; severe lag or trend misfit.
Strong Built-Up Core (km²),strong_built_up_km2,OLS Linear Trend Extrapolation,Linear_Trend,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),3.1033,3.2557,5.04,4.974,5.233,37.6,37.8,Superior to Baseline,Assumes continuation of historical expansion rate.
Strong Built-Up Core (km²),strong_built_up_km2,"Holt's Linear Exponential Smoothing (alpha=0.8, beta=0.2)",Holts_Linear,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),2.1266,2.2588,3.5,4.974,5.233,57.2,56.8,Superior to Baseline,Assumes continuation of historical expansion rate.
Annual NDVI,NDVI,Last-Value Persistence (y_{t-1}),Naive_Persistence,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),0.0488,0.0622,11.83,0.0488,0.0622,0.0,0.0,Baseline Anchor,Assumes zero net growth between successive years.
Annual NDVI,NDVI,Historical Expanding Mean (y_{1:t-1}),Historical_Mean,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),0.0481,0.0487,11.16,0.0488,0.0622,1.4,21.7,Marginal Baseline Improvement,Slightly exceeds baseline; sensitive to noise.
Annual NDVI,NDVI,2-Year Moving Average,MA_2yr,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),0.0445,0.0492,10.86,0.0488,0.0622,8.7,20.9,Marginal Baseline Improvement,Slightly exceeds baseline; sensitive to noise.
Annual NDVI,NDVI,OLS Linear Trend Extrapolation,Linear_Trend,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),0.0605,0.0611,14.21,0.0488,0.0622,-24.1,1.8,Inferior to Baseline,Underperforms simple persistence; severe lag or trend misfit.
Annual NDVI,NDVI,"Holt's Linear Exponential Smoothing (alpha=0.8, beta=0.2)",Holts_Linear,2016-2021 to 2016-2024 (Expanding),Chronological Walk-Forward Rolling Origin,2022-2025 (4 out-of-sample points),0.0637,0.0668,15.05,0.0488,0.0622,-30.7,-7.3,Inferior to Baseline,Underperforms simple persistence; severe lag or trend misfit.
