rank,cell_id,latitude,longitude,stress_score,stress_quartile,urbanization_component,vegetation_component,water_component,evidence_strength,dominant_evidence,secondary_evidence,decision_support_label,mandal,nearest_place,nearest_place_distance_km
1,C_052_166,13.310472,79.701092,0.6771,Q4: Higher Relative Stress,0.5,1.0,0.5312,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
2,C_035_064,13.463186,78.778702,0.6761,Q4: Higher Relative Stress,0.496,0.7934,0.7388,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Spectral Decline (NDWI decrease),Priority Multi-Source Monitoring Zone,Somala,N/A (Requires Authoritative Settlement Gazetteer),
3,C_052_169,13.310472,79.728042,0.667,Q4: Higher Relative Stress,0.5276,0.9962,0.4771,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
4,C_047_044,13.355388,78.599039,0.661,Q4: Higher Relative Stress,0.9099,1.0,0.073,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
5,C_038_055,13.436236,78.697854,0.6559,Q4: Higher Relative Stress,0.804,0.7897,0.374,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
6,C_045_166,13.373354,79.701092,0.6415,Q4: Higher Relative Stress,0.4104,0.5141,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
7,C_042_054,13.400304,78.688871,0.6192,Q4: Higher Relative Stress,0.4148,0.4427,1.0,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
8,C_040_056,13.41827,78.706837,0.6184,Q4: Higher Relative Stress,0.4804,0.6508,0.7241,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
9,C_055_047,13.283523,78.625988,0.6163,Q4: Higher Relative Stress,0.6956,1.0,0.1533,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
10,C_073_102,13.121826,79.120062,0.6112,Q4: Higher Relative Stress,0.8461,0.8529,0.1346,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Gudipala,N/A (Requires Authoritative Settlement Gazetteer),
11,C_069_054,13.157759,78.688871,0.6075,Q4: Higher Relative Stress,0.7147,0.7905,0.3173,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
